 Teaching Research Citations Industry_Income International_Outlook
"Hunan University" 23.6 24.1 74.9 52.6 good
"University of Tulsa" 33.5 16.2 68.9 50.5 good
"University of Bari Aldo Moro" 16.7 17.1 87.3 36.2 bad
"Edith Cowan University" 18.7 21.9 67.8 39.1 bad
"Murdoch University" 18.5 24.9 61.9 51.0 bad
"University of Pavia" 24.6 25.7 65.5 55.5 good
"Gwangju Institute of Science and Technology" 40.0 39.3 39.3 57.0 good
"Indian Institute of Technology Kharagpur" 41.3 38.9 39.0 91.9 good
"University of Houston" 33.6 25.9 58.0 36.8 good
"National Research Nuclear University MEPhI" 37.5 36.1 33.6 100.0 good
"University of Ferrara" 21.0 20.2 75.0 40.3 good
"Indian Institute of Technology Bombay" 44.7 39.6 34.9 80.3 good
"ITMO University" 30.6 28.0 49.8 84.6 good
"Oklahoma State University" 24.1 21.5 71.1 36.9 good
"University of Valencia" 24.6 20.8 70.8 37.0 good
"Bond University" 21.1 19.6 64.6 35.9 good
"Covenant University" 27.2 14.7 78.4 43.8 good
"Mansoura University" 19.1 9.2 88.1 39.6 bad
"Bournemouth University" 33.2 18.7 55.5 34.8 good
"Hokkaido University" 45.7 40.1 30.0 58.7 good
"Colorado State University, Fort Collins" 27.8 25.3 64.1 38.4 good
"University of Kentucky" 37.0 24.9 55.5 38.4 good
"University of Portsmouth" 17.8 16.2 71.0 34.9 bad
"New Mexico Institute of Mining and Technology" 22.3 14.6 70.6 78.1 good
"University of Tsukuba" 43.3 37.2 34.4 44.6 good
"Charles University in Prague" 32.9 25.9 53.0 34.8 good
"Leibniz University Hanover" 36.8 29.9 46.1 52.3 good
"Teikyo University" 14.8 10.8 95.9 36.5 bad
"University of Texas at San Antonio" 18.1 21.1 78.0 36.2 bad
"Verona University" 31.5 20.3 63.7 42.4 good
"Yasouj University" 15.1 15.5 91.8 35.7 bad
"University of Catania" 33.1 17.7 67.6 36.9 good
"Missouri University of Science and Technology" 24.2 24.6 59.2 52.9 good
"South China University of Technology" 24.0 29.1 61.2 85.4 good
"Yokohama City University" 25.9 8.5 86.2 40.3 good
"University of Campinas" 44.6 38.0 34.8 44.8 good
"Shenzhen University" 22.3 22.8 70.4 51.4 good
"Florida International University" 30.4 22.6 62.3 38.0 good
"Keele University" 20.3 22.4 64.1 35.5 good
"Ko� University" 26.9 34.4 49.2 60.2 good
"Louisiana State University" 34.5 26.3 55.3 35.4 good
"Northern Arizona University" 20.2 14.7 82.3 35.1 good
"University of Rovira i Virgili" 23.7 21.0 67.6 36.6 good
"Bar-Ilan University" 29.9 36.5 44.2 46.6 good
"University of Greifswald" 30.0 22.4 60.2 39.1 good
"University of Plymouth" 20.3 19.3 67.5 35.0 good
"University of Jyv�skyl�" 26.7 30.8 54.3 35.8 good
"National and Kapodistrian University of Athens" 21.8 15.0 72.9 55.4 good
"Victoria University of Wellington" 23.0 31.8 45.5 57.2 good
"Catholic University of the Sacred Heart" 18.4 20.9 72.6 44.8 bad
"King Saud University" 24.6 25.8 49.6 83.4 good
"University of Neuch�tel" 23.7 29.3 48.3 37.2 good
"University of L�Aquila" 30.8 18.7 65.4 41.4 good
"Aston University" 21.0 24.2 55.1 37.1 good
"National Taiwan University of Science and Technology (Taiwan Tech)" 29.7 41.8 39.5 62.2 good
"University of the West of Scotland" 13.9 13.9 76.8 35.0 bad
"National Yang-Ming University" 38.7 18.8 60.0 38.1 good
"Norwegian University of Life Sciences" 26.5 10.5 66.2 39.9 good
"Universidad Peruana Cayetano Heredia" 17.0 11.3 83.1 34.7 bad
"Suez Canal University" 19.9 8.7 82.6 37.9 bad
"Complutense University of Madrid" 35.4 28.9 47.2 36.1 good
"University of Ibadan" 23.4 12.1 77.6 41.4 good
"Claude Bernard University Lyon 1" 26.0 24.0 58.0 38.6 good
"Renmin University of China" 42.5 21.2 47.4 43.9 good
CentraleSup�lec 29.4 21.1 48.9 60.9 good
"Carleton University" 20.2 27.2 57.1 36.1 good
"King Saud bin Abdulaziz University for Health Sciences" 29.9 7.7 67.1 35.8 good
"University of Udine" 26.2 16.1 68.7 38.0 good
"Universit� Bourgogne Franche-Comt� (UBFC)" 23.2 13.8 71.1 38.6 good
"University of Lisbon" 25.2 29.8 52.7 39.2 good
"Indian Institute of Technology Roorkee" 38.9 28.2 46.6 72.5 good
"University of Rome II � Tor Vergata" 23.2 17.8 67.1 37.2 good
"Graz University of Technology" 30.5 17.5 50.1 71.5 good
"University of Hull" 22.3 23.0 56.1 36.3 good
"East China Normal University" 30.5 23.5 50.5 50.6 good
"University of Haifa" 26.7 31.9 52.8 36.3 good
"University of Insubria" 18.5 19.5 72.1 36.6 bad
"Peter the Great St Petersburg Polytechnic University" 26.2 15.9 61.8 71.2 good
"Bilkent University" 24.5 24.7 53.1 55.1 good
"Polytechnic University of Turin" 26.2 25.4 55.3 50.8 good
"Soochow University" 23.4 20.8 68.2 37.5 good
"University of Wisconsin-Milwaukee" 21.7 22.7 66.9 36.2 good
"Hamburg University of Technology" 36.2 23.9 42.5 79.1 good
"University of Idaho" 33.3 21.1 53.4 36.2 good
"University of Limerick" 20.1 23.5 54.6 39.2 good
"Tianjin University" 32.7 35.7 38.8 97.9 good
"Xi�an Jiaotong University" 35.1 30.7 41.3 61.4 good
"Memorial University of Newfoundland" 20.5 19.9 57.7 61.0 good
"San Diego State University" 23.7 24.4 62.0 35.1 good
"University of Guelph" 26.2 29.4 47.4 48.6 good
"Hacettepe University" 28.4 13.1 70.5 37.5 good
"Lappeenranta-Lahti University of Technology LUT" 28.3 30.1 43.1 53.8 good
"Mashhad University of Medical Sciences" 28.1 12.3 73.0 34.5 good
"North-West University" 20.1 17.1 69.9 41.1 good
"Amirkabir University of Technology" 34.2 31.8 43.2 76.5 good
"National Chiao Tung University" 35.8 43.3 25.6 87.0 good
"New Jersey Institute of Technology" 21.3 19.2 58.2 36.7 good
"University of Rome III" 23.4 22.7 61.2 40.4 good
"Sharif University of Technology" 28.9 36.7 41.0 99.8 good
"University of Waikato" 20.8 26.3 48.8 43.4 good
"University of Kashan" 19.6 18.2 75.2 35.6 bad
"Pontifical Catholic University of Chile" 24.2 28.3 48.6 64.5 good
"University of Siegen" 21.3 25.3 57.1 40.2 good
"Southeast University" 29.6 33.4 42.7 97.3 good
"Binghamton University, State University of New York" 22.8 21.9 62.0 36.8 good
"Tomsk State University" 41.0 33.7 23.4 53.0 good
"King Fahd University of Petroleum and Minerals" 27.2 15.9 51.7 64.4 good
"Lincoln University" 24.4 19.9 47.9 51.5 good
"The University of the West Indies" 17.8 11.1 73.4 38.9 bad
"University of Alabama in Huntsville" 22.2 22.4 58.1 68.4 good
"Charles Darwin University" 19.9 24.3 51.4 45.2 bad
"Institute of Chemical Technology" 38.3 24.1 47.1 77.4 good
"University of Wuppertal" 25.0 17.9 60.2 44.5 good
"Xiamen University" 27.3 22.9 57.1 53.3 good
"China Medical University, Taiwan" 25.8 32.4 45.9 87.7 good
"University of Graz" 22.9 18.3 56.1 35.8 good
"Indian Institute of Technology Gandhinagar" 21.1 11.5 76.0 45.1 good
"University of Nebraska Medical Center" 35.8 12.1 57.5 38.1 good
"University of Rhode Island" 23.9 17.7 66.0 34.4 good
"Novosibirsk State University" 42.8 31.9 30.3 35.7 good
"Tehran University of Medical Sciences" 44.5 16.0 48.0 59.3 good
"Universiti Tunku Abdul Rahman (UTAR)" 14.8 12.2 81.4 38.0 bad
"Universidad Aut�noma de Chile" 12.3 8.9 81.6 34.4 bad
"Kansai Medical University" 32.3 8.7 70.0 35.6 good
"Beihang University" 30.4 34.2 38.1 98.2 good
"Chung-Ang University" 37.9 37.0 25.2 64.6 good
"Marche Polytechnic University" 22.1 18.9 65.8 40.8 good
"The Open University" 18.2 16.1 66.5 34.8 bad
"Open University of Catalonia" 16.5 14.2 74.2 35.8 bad
"University of Brescia" 15.4 17.0 71.2 38.1 bad
"Massey University" 22.9 18.9 49.1 41.5 good
"University of Coimbra" 23.7 28.1 47.4 41.0 good
"Dublin City University" 21.0 25.2 49.7 42.8 good
"University of Kaiserslautern" 33.6 24.1 41.3 64.5 good
"West Virginia University" 27.8 17.1 59.3 34.4 good
"Makerere University" 16.7 12.7 69.6 40.9 bad
"Stevens Institute of Technology" 22.5 15.8 58.4 35.6 good
"University of the Western Cape" 18.3 20.0 60.3 34.4 bad
"University of Windsor" 33.7 26.6 33.5 36.8 good
"University of Central Florida" 26.5 28.7 49.7 42.6 good
"Concordia University" 20.9 25.9 46.0 36.9 good
"Jagiellonian University" 25.5 17.0 61.4 35.3 good
"University of Costa Rica" 16.2 7.9 77.1 34.4 bad
"Montana State University" 18.6 19.4 67.0 48.4 bad
"NOVA University of Lisbon" 24.9 25.7 46.6 46.7 good
"Polytechnic University of Catalonia" 23.7 17.2 56.9 41.2 good
"University of Ulsan" 20.6 23.4 61.8 58.2 good
"Iran University of Science and Technology" 27.8 33.0 42.6 96.3 good
"University of Lincoln" 16.5 14.1 64.3 35.3 bad
"University of Parma" 18.1 18.9 65.7 39.4 bad
"Baylor University" 32.1 18.2 53.9 35.3 good
"Johannes Kepler University of Linz" 28.1 19.7 46.8 54.1 good
"Mahidol University" 31.6 21.0 45.2 73.4 good
"University of Southern Queensland" 19.3 19.8 54.9 37.4 bad
"University of Lorraine" 21.8 13.5 61.3 37.3 good
"National Institute of Applied Sciences of Lyon (INSA Lyon)" 29.8 25.5 33.7 91.3 good
"University of Salento" 27.5 21.0 56.3 36.8 good
"National Cheng Kung University (NCKU)" 32.8 41.1 22.9 99.8 good
"Aristotle University of Thessaloniki" 19.2 16.8 64.3 41.3 bad
"University of Electronic Science and Technology of China" 23.5 22.2 55.1 71.8 good
"Konkuk University" 33.0 37.9 27.5 44.3 good
"Lehigh University" 27.4 20.8 51.0 40.3 good
"University of Nantes" 19.8 21.0 57.4 39.5 bad
"Worcester Polytechnic Institute" 20.1 17.7 59.1 36.5 good
"Indian Institute of Science Education and Research, Pune" 31.7 19.5 54.1 35.1 good
"Amedeo Avogadro University of Eastern Piedmont" 14.7 18.9 66.2 35.1 bad
"University of La Laguna" 19.3 11.5 67.8 35.2 bad
"Mae Fah Luang University" 14.4 9.0 74.4 34.5 bad
"Texas Tech University" 30.8 20.9 46.5 36.2 good
"Northwestern Polytechnical University" 26.2 33.6 40.2 83.3 good
"Universit� de Sherbrooke" 29.6 14.5 51.0 38.1 good
"University of Bergamo" 19.5 21.0 59.3 40.9 bad
"Indian Institute of Technology Madras" 44.9 30.6 25.4 80.0 good
"Oxford Brookes University" 28.5 24.0 37.4 34.6 good
"�cole normale sup�rieure Paris-Saclay" 36.5 29.6 27.7 51.1 good
"Nanjing University of Information Science and Technology" 16.7 14.9 69.9 38.9 bad
"University of Calabria" 17.6 17.5 59.8 87.9 bad
"China Agricultural University" 34.9 26.2 40.7 52.2 good
"Ferhat Abbas S�tif University 1" 17.7 7.7 73.0 34.4 bad
"Kent State University" 23.6 19.0 55.6 34.8 good
"University of Palermo" 21.1 17.9 63.0 35.0 good
"Auburn University" 32.7 21.1 43.3 40.2 good
"University of Girona" 18.9 18.2 57.6 37.4 bad
"National Taiwan Normal University" 32.0 37.3 22.8 78.4 good
"Savitribai Phule Pune University" 38.9 18.5 46.6 36.1 good
"University of Toledo" 33.7 13.9 48.7 42.8 good
"Federal University of Minas Gerais" 30.2 17.9 52.0 38.8 good
"Metropolitan Autonomous University" 16.6 16.3 68.6 36.4 bad
"Nottingham Trent University" 17.7 12.9 59.5 34.9 bad
"Shandong University" 32.3 29.1 35.4 72.3 good
"Indian Institute of Technology Kanpur" 37.8 24.5 35.2 94.3 good
"Beijing Institute of Technology" 30.6 32.1 32.7 98.1 good
"Ewha Womans University" 29.9 30.8 31.4 69.9 good
"University of Maryland, Baltimore County" 22.9 17.4 57.8 35.7 good
"Saint Petersburg State University" 46.1 31.0 19.7 36.4 good
"Southern Cross University" 18.5 21.5 49.7 39.8 bad
"Amrita Vishwa Vidyapeetham" 26.1 17.0 47.7 82.5 good
"Iran University of Medical Sciences" 37.7 10.0 52.6 43.4 good
"University of Lille" 20.3 17.3 53.0 39.0 good
"Manchester Metropolitan University" 20.1 14.2 55.4 34.8 good
"University of Huddersfield" 22.8 20.0 44.8 36.6 good
"University of Johannesburg" 19.7 25.8 42.5 40.4 bad
"Bo?azi�i University" 23.2 21.2 49.4 50.8 good
"Nanjing Medical University" 38.2 25.9 36.0 35.8 good
"Universit� du Qu�bec" 24.9 23.6 39.1 42.1 good
"Roskilde University" 21.4 32.7 37.8 38.2 good
"Universiti Teknologi Malaysia" 36.4 25.2 29.2 35.6 good
"University of the Balearic Islands" 20.3 13.6 59.1 34.7 good
"Federal University of Rio Grande do Sul" 29.6 18.3 49.3 46.5 good
"University of Tehran" 36.7 23.5 38.7 34.4 good
"University of Aveiro" 24.7 25.5 40.7 41.4 good
"University of Granada" 19.4 20.9 52.0 35.6 bad
"Kazan Federal University" 28.7 16.9 47.8 40.0 good
"University of the Sunshine Coast" 17.3 23.5 46.0 40.3 bad
"Imam Khomeini International University" 12.3 8.5 78.0 34.7 bad
"Universiti Teknologi Petronas" 27.1 30.1 26.8 78.2 good
"TU Braunschweig" 25.2 16.0 48.9 42.6 good
"COMSATS University Islamabad" 16.9 9.9 65.5 34.5 bad
"Panth�on-Sorbonne University � Paris 1" 45.4 32.9 11.2 34.8 good
"Kansas State University" 25.0 20.4 45.8 41.9 good
"Tokyo Metropolitan University" 24.9 17.2 54.6 38.4 good
"University of Tours" 30.2 12.5 48.5 35.7 good
"Keio University" 32.1 25.7 36.8 42.7 good
"King Khalid University" 21.6 7.1 53.6 34.5 good
"Creighton University" 42.0 11.6 41.5 35.7 good
"Chemnitz University of Technology" 33.0 26.5 26.8 67.8 good
"University of Delhi" 37.6 17.8 42.8 34.5 good
"IDC Herzliya" 14.1 10.1 62.6 34.4 bad
"University of Ioannina" 16.5 14.7 60.2 37.3 bad
"Sichuan University" 30.6 24.8 38.3 63.8 good
"�bo Akademi University" 22.6 29.2 33.1 38.5 good
"Panjab University" 27.0 14.4 56.6 34.9 good
"University of Clermont Auvergne" 19.2 10.0 57.0 38.0 bad
"Federal University of Santa Catarina" 28.4 13.1 52.6 38.7 good
"University of Pretoria" 25.1 30.1 33.0 41.8 good
"Old Dominion University" 22.7 19.2 51.9 34.4 good
"University of Rennes 1" 21.0 15.5 50.9 36.9 good
"Shahid Beheshti University of Medical Sciences" 42.9 14.6 37.3 64.0 good
"Ca� Foscari University of Venice" 25.1 25.7 36.5 37.1 good
"University of Texas at Arlington" 21.0 18.3 50.0 39.7 good
"Federal University of S�o Paulo (UNIFESP)" 32.6 17.8 43.3 35.7 good
"University of Nevada, Las Vegas" 28.7 22.6 41.3 35.1 good
"Thapar University" 19.1 9.7 66.5 36.0 bad
"E�tv�s Lor�nd University" 21.4 17.7 48.2 35.1 good
"Indian Institute of Technology Hyderabad" 25.3 18.0 52.4 39.4 good
"Isfahan University of Technology" 25.4 23.4 41.7 85.5 good
"Kafrelsheikh University" 13.0 7.9 67.4 38.0 bad
"Palack� University Olomouc" 20.9 18.3 46.9 35.4 good
"Universiti Putra Malaysia" 32.0 31.4 19.1 41.3 good
"University of South Dakota" 31.2 15.6 46.8 39.0 good
"De Montfort University" 16.9 13.8 50.4 34.6 bad
"University of Warsaw" 25.8 21.5 41.4 35.1 good
"Masaryk University" 22.6 25.4 36.3 35.6 good
"New Mexico State University (Main campus)" 21.5 14.7 53.9 38.8 good
"Clemson University" 25.0 21.2 43.0 40.1 good
"Glasgow Caledonian University" 15.7 12.2 56.2 35.2 bad
"Jaume I University" 22.5 16.3 49.6 37.5 good
"Universiti Kebangsaan Malaysia" 34.2 19.6 32.3 37.1 good
"China University of Petroleum, Beijing" 24.0 26.1 39.2 88.0 good
"Dalian University of Technology" 24.6 23.7 40.2 77.1 good
"Universiti Sains Malaysia" 35.6 22.7 26.7 45.7 good
"Ulster University" 21.0 18.0 40.9 35.6 good
"Banaras Hindu University" 30.8 16.4 46.7 34.6 good
"National University of Science and Technology (MISiS)" 24.3 23.7 29.1 84.2 good
"Tomsk Polytechnic University" 26.3 20.6 35.7 60.7 good
"University of Lleida" 23.6 15.2 48.8 37.8 good
"Universiti Malaysia Perlis" 16.5 12.0 62.4 35.7 bad
"Monterrey Institute of Technology" 20.5 18.2 41.8 74.7 good
"Tabriz University of Medical Sciences" 45.0 12.0 36.7 34.5 good
"University of the Basque Country" 22.0 17.1 47.3 37.1 good
"Indian Institute of Technology Guwahati" 33.7 22.0 37.2 41.0 good
"Miguel Hern�ndez University of Elche" 30.3 12.7 45.4 38.0 good
"Ohio University (Main campus)" 28.5 17.4 43.5 35.4 good
"Ryerson University" 19.4 26.0 38.6 36.2 bad
"University of Santiago de Compostela" 21.8 16.6 46.9 40.3 good
"Pontifical Catholic University of Rio de Janeiro (PUC-Rio)" 27.4 25.6 27.9 99.5 good
"University of the West of England" 17.1 15.2 48.4 34.9 bad
"University of Beira Interior" 17.9 16.5 48.7 34.7 bad
"Coventry University" 17.4 12.7 44.1 34.7 bad
"Lakehead University" 17.6 19.5 46.9 37.3 bad
"University of Sassari" 22.2 17.2 47.8 36.4 good
"University of the Andes, Colombia" 21.1 15.9 45.0 37.4 good
"Kindai University" 20.1 11.4 58.4 38.8 good
"Cairo University" 21.8 13.7 51.5 35.4 good
"University of Oviedo" 16.8 15.2 54.8 38.5 bad
"Shiraz University of Technology" 23.7 20.3 46.6 47.9 good
"Indian Institute of Technology Bhubaneswar" 27.0 11.3 52.9 35.8 good
"Istanbul Technical University" 25.2 28.0 30.2 100.0 good
"University of Ljubljana" 21.1 18.7 44.8 39.7 good
"University of North Carolina at Greensboro" 20.9 19.3 50.0 35.4 good
"University of Split" 15.7 12.3 56.8 40.1 bad
"University of Tabriz" 27.9 19.9 42.2 42.9 good
"University of Arkansas" 26.9 23.0 37.0 39.4 good
"Central Queensland University" 16.9 12.9 50.2 36.4 bad
"University of Sharjah" 19.5 11.8 38.8 38.3 bad
"University of Thessaly" 15.7 20.2 48.7 42.8 bad
"University of Salamanca" 26.4 17.5 37.9 37.0 good
"Western Washington University" 16.2 10.6 62.2 34.5 bad
"Beni-Suef University" 14.7 7.4 60.8 34.4 bad
"Kobe University" 32.4 22.8 31.1 44.3 good
"National Autonomous University of Mexico" 31.9 30.4 18.9 61.7 good
"University of Greenwich" 17.1 15.2 39.5 35.4 bad
"University of Leoben" 28.1 11.2 35.6 56.2 good
"University of Brighton" 17.1 14.2 43.4 35.1 bad
"�cole Centrale de Lyon" 31.1 20.2 23.6 59.7 good
"Nippon Medical School" 25.7 8.8 55.1 34.8 good
"University of Hertfordshire" 17.5 13.0 42.7 35.3 bad
"Jawaharlal Nehru University" 43.9 17.3 26.6 43.0 good
"Nanjing Normal University" 20.2 12.1 54.4 47.5 good
"National Technical University of Athens" 23.0 12.8 45.0 71.5 good
"University of Regina" 16.8 15.6 45.1 35.8 bad
"Jiangsu Normal University" 15.1 11.0 60.7 39.7 bad
"University of Malta" 16.9 13.7 48.1 34.7 bad
"Pusan National University" 27.0 30.0 24.9 63.4 good
"University of Alcal�" 18.5 15.7 43.2 42.5 bad
"Huazhong Agricultural University" 21.8 15.1 49.7 43.1 good
"Jikei University School of Medicine" 28.4 8.6 51.4 38.3 good
"University of Westminster" 18.2 16.2 36.7 34.8 bad
"Hiroshima University" 28.9 22.4 31.5 49.9 good
"Middle East Technical University" 28.7 23.2 30.7 62.1 good
"The University of Aizu" 20.8 12.5 41.7 36.0 good
"University of International Business and Economics" 25.3 16.1 35.2 35.7 good
"Jamia Millia Islamia" 29.4 8.7 47.6 35.2 good
"Waseda University" 31.3 22.8 28.2 38.1 good
"University of Indonesia" 38.7 19.2 16.7 81.6 good
"Portland State University" 21.1 18.4 44.6 35.7 good
"Sidi Mohamed Ben Abdellah University" 25.2 7.6 53.2 34.4 good
"University of Technology of Compi�gne" 23.2 10.1 37.2 42.6 good
"East China University of Science and Technology" 22.0 19.1 44.0 56.1 good
"ISCTE-University Institute of Lisbon" 23.0 26.4 29.3 39.8 good
"Kurume University" 21.5 10.1 54.5 36.5 good
"Lumi�re University, Lyon 2" 28.8 18.1 29.0 34.7 good
"University of Minho" 22.5 19.4 34.6 62.6 good
"Carlos III University of Madrid" 24.4 16.3 34.9 38.2 good
"Edinburgh Napier University" 16.7 13.9 40.4 35.6 bad
"Marquette University" 36.0 14.4 34.3 36.3 good
"Nanjing Tech University" 17.7 12.1 53.0 59.7 bad
"Fuzhou University" 16.6 12.1 54.6 49.5 bad
"National Institute of Technology Rourkela" 26.4 15.1 44.8 37.5 good
"University of P�cs" 19.6 16.1 40.9 37.5 bad
"University of Deusto" 21.5 17.6 39.6 38.1 good
"Pablo de Olavide University" 21.5 14.2 42.0 35.2 good
"University of Seville" 25.4 18.7 36.5 36.6 good
"University of Texas at El Paso" 21.0 22.9 36.3 34.4 good
"Guangdong University of Technology" 14.2 13.1 54.6 57.3 bad
"Hyogo College of Medicine" 30.2 12.4 43.5 34.4 good
"University of Lagos" 15.5 9.0 58.7 34.5 bad
"Nanjing Agricultural University" 23.4 17.2 43.2 47.4 good
"University of the Aegean" 18.1 17.8 44.3 37.0 bad
"Athens University of Economics and Business" 17.8 21.2 39.3 37.8 bad
"Chang Gung University" 23.3 26.3 29.8 84.9 good
"Federal University of Rio de Janeiro" 34.4 22.0 26.1 35.5 good
"University of Salford" 18.7 14.8 38.7 34.8 bad
"Saint-Petersburg Mining University" 20.2 10.3 48.9 71.1 good
"University of Zaragoza" 22.0 13.4 43.8 38.6 good
"University of Bradford" 19.3 16.4 33.0 36.9 bad
"Florida Atlantic University" 21.0 19.1 37.5 37.9 good
"Jadavpur University" 33.8 22.3 28.5 40.8 good
"Jinan University" 21.6 14.9 38.5 40.4 good
"University of Northern British Columbia (UNBC)" 19.3 18.5 42.0 34.8 bad
"Southwestern University of Finance and Economics" 18.1 11.6 48.0 37.1 bad
"University of Roehampton" 18.7 19.9 31.3 34.5 bad
"University of Science and Technology Beijing" 27.2 25.2 29.5 54.4 good
"University of South Bohemia in ?esk� Bud?jovice" 17.7 13.3 46.1 34.5 bad
"American University in Cairo" 27.0 25.1 20.2 35.5 good
"Chiba University" 28.7 19.1 32.8 51.4 good
"Polytechnic University of Valencia" 22.1 11.8 41.3 44.8 good
"Asia University, Taiwan" 17.3 33.7 23.0 100.0 bad
"China University of Geosciences, Wuhan" 20.5 17.2 43.1 45.6 good
"Mississippi State University" 21.8 15.8 43.6 40.3 good
"Northeast Normal University" 24.3 10.3 48.6 37.1 good
"Technical University of Madrid" 22.6 14.9 37.7 42.4 good
"University of B�ja�a" 16.4 7.4 53.3 34.4 bad
"Benha University" 14.8 7.5 54.6 35.6 bad
"Chulalongkorn University" 31.5 21.7 22.2 64.8 good
"University of East London" 20.4 14.5 32.8 34.4 good
"Kingston University" 17.6 15.6 33.3 34.7 bad
"Rochester Institute of Technology" 20.0 18.1 39.0 35.9 bad
"University of Chile" 23.2 17.1 33.9 34.5 good
"China University of Mining and Technology" 19.9 13.6 47.4 52.8 bad
"Chongqing University" 23.2 21.3 35.2 60.3 good
"Ilmenau University of Technology" 25.1 16.8 29.9 50.7 good
"Karlstad University" 16.8 13.2 47.6 35.2 bad
"Ajou University" 23.9 23.4 29.8 60.9 good
"University of Algarve" 17.3 13.5 40.2 35.3 bad
"International Islamic University, Islamabad" 14.4 7.5 53.1 34.4 bad
"Lebanese American University" 30.5 10.1 25.1 34.8 good
"Shahid Beheshti University" 22.1 19.0 38.0 66.9 good
"Shanghai University of Finance and Economics (SUFE)" 27.6 14.1 32.7 38.2 good
"Shantou University" 22.0 14.2 39.5 44.1 good
"Aligarh Muslim University" 29.0 10.4 41.1 34.5 good
"Sogang University" 24.4 28.2 23.6 47.7 good
"Vilnius University" 19.9 14.3 37.1 46.6 bad
"Yeungnam University" 18.4 12.8 45.5 40.0 bad
"Al-Balqa Applied University" 11.9 8.9 52.8 40.5 bad
"China University of Geosciences, Beijing" 24.7 14.2 39.7 43.0 good
"RUDN University" 36.3 11.3 25.2 37.0 good
"Kyungpook National University" 24.5 28.0 25.0 43.4 good
"Shanghai University" 21.2 24.8 29.6 60.0 good
"Sheffield Hallam University" 17.5 13.2 41.4 34.8 bad
"Sri Venkateswara University" 37.3 10.0 32.6 35.0 good
"University of Bras�lia" 25.8 14.4 36.8 34.5 good
"University of C�rdoba" 21.2 16.6 36.4 37.1 good
"University of Nairobi" 14.6 10.2 48.3 34.8 bad
"Kyoto Prefectural University of Medicine" 32.6 13.3 33.7 44.2 good
"Niigata University" 23.9 13.0 41.3 40.0 good
"University of Szeged" 21.8 12.4 36.6 36.5 good
"University of Central Lancashire" 15.7 12.7 39.7 34.8 bad
"National Sun Yat-Sen University" 24.4 28.0 21.9 58.9 good
"Rikkyo University" 16.6 8.9 47.5 34.8 bad
"Bucharest University of Economic Studies" 15.4 10.0 53.1 34.8 bad
"Cardiff Metropolitan University" 16.5 10.8 41.0 34.7 bad
"University of Las Palmas de Gran Canaria" 17.8 11.9 44.4 34.4 bad
"Shiraz University" 24.8 25.0 27.2 57.0 good
"Teesside University" 15.5 10.6 43.9 34.8 bad
"Florida Institute of Technology" 22.7 14.6 31.4 37.7 good
"Federal University of Pelotas" 17.9 11.0 48.6 34.4 bad
"Leeds Beckett University" 16.6 13.9 39.5 35.0 bad
"National Central University" 25.0 22.6 22.1 65.6 good
"Normandy University" 17.4 12.9 38.8 35.8 bad
"Staffordshire University" 16.8 9.8 42.8 34.6 bad
"Tallinn University" 16.9 20.1 29.5 38.2 bad
"University of Vigo" 17.7 14.6 39.5 38.4 bad
"VIT University" 20.5 12.6 44.0 36.3 good
"Juntendo University" 34.6 13.5 27.8 47.4 good
"Lviv Polytechnic National University" 17.9 8.7 49.5 34.7 bad
"National Institute of Technology, Tiruchirappalli" 25.0 17.4 32.8 51.9 good
"The New School" 23.9 15.2 30.2 38.4 good
"Osmania University" 36.0 10.2 31.5 39.6 good
"Istanbul University" 25.8 24.4 23.6 49.8 good
"University Rey Juan Carlos" 18.6 10.8 40.9 36.7 bad
"Vietnam National University, Hanoi" 21.9 9.1 38.8 36.5 good
"University of Jordan" 25.1 10.2 29.1 39.3 good
"Capital Medical University" 30.2 20.2 24.7 35.0 good
"Pontifical Catholic University of Rio Grande do Sul (PUCRS)" 18.7 13.5 41.1 49.7 bad
"University of Puerto Rico" 18.1 8.5 43.7 34.9 bad
"American University of Sharjah" 19.2 14.8 23.0 37.5 bad
"Eastern Mediterranean University" 17.0 11.7 30.6 34.4 bad
"Northeastern University" 24.8 22.1 19.3 96.9 good
"S�o Paulo State University (UNESP)" 34.4 23.0 16.8 36.9 good
"University of Wolverhampton" 15.8 13.3 35.0 34.5 bad
"Wuhan University of Technology" 18.8 13.4 40.8 53.8 bad
"Babe?-Bolyai University" 16.7 14.1 36.8 34.9 bad
"Technological University Dublin" 15.7 13.3 32.9 35.1 bad
"University of Cadiz" 27.0 14.8 28.7 35.9 good
"Kaohsiung Medical University" 22.5 23.3 25.9 54.8 good
"National Dong Hwa University" 16.3 24.6 28.9 37.8 bad
"Universiti Tenaga Nasional (UNITEN)" 17.9 13.8 33.9 91.5 bad
"Tokyo Medical University" 29.6 10.7 35.0 35.7 good
"Birmingham City University" 16.0 10.3 37.4 34.6 bad
"Isfahan University of Medical Sciences" 40.9 11.9 22.4 37.4 good
"K.N. Toosi University of Technology" 24.6 23.7 25.1 46.4 good
"Xidian University" 21.0 17.2 32.9 75.2 good
"University of Bedfordshire" 16.9 13.6 29.3 34.9 bad
"University of �vora" 19.6 14.6 31.3 35.6 bad
"Fu Jen Catholic University" 18.7 19.9 31.3 53.5 bad
"Kanazawa University" 26.8 17.7 28.4 36.9 good
"University of Kurdistan" 14.5 13.1 46.6 39.3 bad
